70_100,70_80,70_50,70_30,70_0,60_100,60_80,60_50,60_30,60_0,50_100,50_80,50_50,50_30,50_0,40_100,40_80,40_50,40_30,40_0
-0.0001190755557,-0.0001187899659,-5.01E-05,-1.87E-05,2.20E-07,-0.0001396543771,-9.20E-05,-4.11E-05,-1.53E-05,-1.57E-09,-5.84E-05,-8.43E-05,-3.74E-05,-1.42E-05,-1.56E-09,-2.03E-09,-2.13E-09,-2.78E-05,-1.12E-05,-1.55E-09
-0.0001357564968,-0.0001324028067,-5.31E-05,-1.98E-05,2.04E-07,-0.0001516874584,-0.0001026512378,-4.40E-05,-1.63E-05,-1.25E-09,-6.68E-05,-9.11E-05,-4.02E-05,-1.53E-05,-1.23E-09,-1.53E-09,-1.63E-09,-2.99E-05,-1.21E-05,-1.22E-09
-0.0001536403356,-0.0001472468393,-5.66E-05,-2.10E-05,1.90E-07,-0.0001645654098,-0.0001142719381,-4.71E-05,-1.75E-05,-9.70E-10,-7.59E-05,-9.86E-05,-4.33E-05,-1.65E-05,-9.51E-10,-1.05E-09,-1.20E-09,-3.22E-05,-1.31E-05,-9.28E-10
-0.0001731417596,-0.0001637659779,-6.06E-05,-2.25E-05,1.79E-07,-0.0001790825645,-0.0001271317645,-5.08E-05,-1.89E-05,-7.45E-10,-8.59E-05,-0.0001071193002,-4.69E-05,-1.78E-05,-7.16E-10,-1.00E-09,-1.09E-09,-3.49E-05,-1.42E-05,-6.85E-10
-0.0001938659363,-0.0001813135672,-6.52E-05,-2.42E-05,1.71E-07,-0.0001951769118,-0.0001410536091,-5.49E-05,-2.04E-05,-5.52E-10,-9.65E-05,-0.000116574729,-5.10E-05,-1.93E-05,-5.11E-10,-9.53E-10,-1.09E-09,-3.79E-05,-1.55E-05,-4.70E-10
-0.0002158999857,-0.0002001095677,-7.04E-05,-2.61E-05,1.65E-07,-0.0002128034798,-0.0001557438318,-5.95E-05,-2.21E-05,-3.93E-10,-0.0001076398155,-0.0001270900915,-5.54E-05,-2.10E-05,-3.36E-10,-5.35E-10,-7.48E-10,-4.12E-05,-1.69E-05,-2.81E-10
-0.0002390278849,-0.0002204719513,-7.63E-05,-2.82E-05,1.61E-07,-0.0002322827608,-0.0001715777696,-6.46E-05,-2.40E-05,-2.69E-10,-0.0001192921144,-0.0001385891467,-6.04E-05,-2.29E-05,-1.92E-10,-5.85E-11,-2.43E-10,-4.49E-05,-1.84E-05,-1.19E-10
-0.0002636732702,-0.0002426484053,-8.35E-05,-3.09E-05,1.61E-07,-0.0002550936856,-0.0001888545882,-7.08E-05,-2.63E-05,-2.00E-10,-0.0001315836472,-0.0001520265261,-6.62E-05,-2.51E-05,-9.30E-11,-6.52E-11,-2.39E-10,-4.93E-05,-2.02E-05,5.33E-12
-0.000289411515,-0.0002668356018,-9.18E-05,-3.40E-05,1.62E-07,-0.0002803918567,-0.0002074794715,-7.78E-05,-2.89E-05,-1.84E-10,-0.0001442887696,-0.0001669675017,-7.28E-05,-2.75E-05,-3.74E-11,-2.11E-10,-4.15E-10,-5.42E-05,-2.22E-05,9.53E-11
-0.0003159322718,-0.0002921725237,-0.0001015584356,-3.76E-05,1.65E-07,-0.0003088390204,-0.000227013116,-8.58E-05,-3.19E-05,-2.28E-10,-0.0001571754171,-0.0001839205651,-8.02E-05,-3.04E-05,-2.91E-11,2.63E-10,-1.98E-10,-5.97E-05,-2.45E-05,1.49E-10
-0.0003430984317,-0.0003190471647,-0.0001127400913,-4.17E-05,1.70E-07,-0.0003409635783,-0.000247719024,-9.49E-05,-3.53E-05,-3.41E-10,-0.0001702302076,-0.000202798458,-8.85E-05,-3.36E-05,-7.57E-11,8.83E-10,3.54E-10,-6.60E-05,-2.70E-05,1.61E-10
-0.0003706517542,-0.0003481307095,-0.0001261326954,-4.67E-05,1.78E-07,-0.0003776819588,-0.0002698273544,-0.0001056634257,-3.94E-05,-5.73E-10,-0.0001831425632,-0.0002244709315,-9.83E-05,-3.73E-05,-2.13E-10,1.13E-09,4.06E-10,-7.32E-05,-2.99E-05,1.04E-10
-0.0003981060608,-0.0003786099544,-0.0001418847531,-5.26E-05,1.89E-07,-0.0004198461944,-0.0002930740024,-0.0001182202374,-4.41E-05,-9.54E-10,-0.0001956678126,-0.0002491770443,-0.0001094194001,-4.15E-05,-4.66E-10,8.73E-10,-1.51E-10,-8.15E-05,-3.32E-05,-3.57E-11
-0.0004246609999,-0.0004105620106,-0.0001599586665,-5.94E-05,2.01E-07,-0.0004656523427,-0.0003172634485,-0.0001325427057,-4.95E-05,-1.50E-09,-0.000207620772,-0.0002763966886,-0.0001220160593,-4.64E-05,-8.47E-10,9.53E-10,-1.80E-10,-9.09E-05,-3.70E-05,-2.69E-10
-0.0004498061326,-0.0004434386678,-0.0001806964945,-6.72E-05,2.15E-07,-0.0005172632898,-0.0003421987085,-0.0001486132478,-5.56E-05,-2.26E-09,-0.000218808524,-0.0003069964124,-0.0001361658599,-5.18E-05,-1.38E-09,2.08E-09,5.02E-10,-0.0001013867703,-4.11E-05,-6.16E-10
-0.0004729107119,-0.0004774586377,-0.0002049089366,-7.63E-05,2.31E-07,-0.0005744866991,-0.0003679704788,-0.0001673019897,-6.27E-05,-3.35E-09,-0.0002286249665,-0.0003414660519,-0.0001523529912,-5.81E-05,-2.17E-09,2.56E-09,1.14E-09,-0.0001134240645,-4.58E-05,-1.14E-09
-0.0004917853631,-0.0005121906781,-0.0002334107615,-8.70E-05,2.51E-07,-0.0006383671921,-0.0003942875395,-0.0001889828426,-7.10E-05,-4.93E-09,-0.0002364985325,-0.0003806984946,-0.0001710154031,-6.53E-05,-3.33E-09,2.02E-09,5.13E-10,-0.000127289358,-5.12E-05,-1.93E-09
-0.0005069921866,-0.0005468635503,-0.0002653518241,-9.91E-05,2.73E-07,-0.0007057781911,-0.0004208221784,-0.000213499105,-8.03E-05,-7.05E-09,-0.0002425292318,-0.0004235994745,-0.0001917204936,-7.34E-05,-4.90E-09,2.07E-09,-1.28E-11,-0.0001426615897,-5.72E-05,-3.02E-09
-0.0005171014597,-0.0005812696911,-0.0003014944477,-0.0001128624868,2.96E-07,-0.0007785744918,-0.00044740352,-0.0002409164387,-9.08E-05,-9.86E-09,-0.0002462921854,-0.0004714365167,-0.0002148808092,-8.24E-05,-6.98E-09,2.93E-09,3.49E-10,-0.0001598490134,-6.39E-05,-4.47E-09
-0.0005215972904,-0.0006155707647,-0.0003426055075,-0.0001285302188,3.23E-07,-0.0008527669614,-0.0004737852795,-0.0002715653128,-0.0001027246415,-1.36E-08,-0.0002472633867,-0.0005238529371,-0.0002409367516,-9.26E-05,-9.79E-09,3.96E-09,1.99E-10,-0.0001791601275,-7.14E-05,-6.44E-09
-0.0005172684265,-0.0006481851832,-0.0003902963193,-0.0001468094603,3.52E-07,-0.0009314404291,-0.0005000234425,-0.0003069575308,-0.000116455878,-1.91E-08,-0.0002445727747,-0.000583170342,-0.0002709273252,-0.0001043512844,-1.39E-08,4.05E-09,-1.59E-09,-0.0002013628877,-8.00E-05,-9.36E-09
-0.0005060516756,-0.0006801710064,-0.0004430908241,-0.0001670930238,3.82E-07,-0.001008152101,-0.0005256885132,-0.0003465039163,-0.000131724684,-2.65E-08,-0.0002385084256,-0.0006486763309,-0.0003040410919,-0.0001173661969,-1.94E-08,2.81E-09,-4.34E-09,-0.0002258517948,-8.96E-05,-1.32E-08
-0.0004873432909,-0.0007105265346,-0.0005021665833,-0.0001896551266,4.14E-07,-0.001086219604,-0.0005510819932,-0.0003903443889,-0.0001486703395,-3.62E-08,-0.0002293161364,-0.00071926014,-0.0003403445237,-0.0001317905411,-2.67E-08,3.46E-09,-5.83E-09,-0.0002526679637,-0.0001000583548,-1.84E-08
-0.0004609779458,-0.0007400854737,-0.0005675693116,-0.0002147519483,4.46E-07,-0.001160388347,-0.0005759665377,-0.0004385318664,-0.0001674247799,-4.91E-08,-0.0002166209726,-0.0007967137484,-0.0003806586153,-0.0001477107457,-3.64E-08,5.28E-09,-6.73E-09,-0.0002824256841,-0.0001116220936,-2.53E-08
-0.0004245261562,-0.0007681996545,-0.0006422927818,-0.0002435992711,4.82E-07,-0.001224251572,-0.0006010025368,-0.0004939745907,-0.0001889073573,-6.75E-08,-0.0001993640101,-0.000882339674,-0.0004265942585,-0.0001659498786,-5.03E-08,5.22E-09,-1.12E-08,-0.0003162548361,-0.000124812452,-3.52E-08
-0.0003813975243,-0.000796415363,-0.0007246224599,-0.0002754142445,5.15E-07,-0.001272449122,-0.0006268345018,-0.0005550159345,-0.0002126308427,-9.41E-08,-0.000179310483,-0.0009764129889,-0.000477475667,-0.0001859923148,-7.05E-08,2.57E-09,-1.87E-08,-0.0003537045998,-0.0001392282368,-4.98E-08
-0.0003325872192,-0.0008253701297,-0.0008156006738,-0.0003102600672,5.47E-07,-0.001305680349,-0.0006532207585,-0.0006219571199,-0.0002385412399,-1.29E-07,-0.0001566045148,-0.001076854996,-0.0005326205912,-0.0002077907597,-9.66E-08,1.74E-09,-2.49E-08,-0.0003942180658,-0.0001549678952,-6.85E-08
-0.0002790976441,-0.0008549967935,-0.0009146372143,-0.0003480666182,5.77E-07,-0.001320365545,-0.0006813787766,-0.0006942410706,-0.0002667092508,-1.71E-07,-0.0001316528087,-0.001187320948,-0.0005929156059,-0.0002315975125,-1.29E-07,3.69E-09,-3.09E-08,-0.0004384573892,-0.000172180713,-9.15E-08
-0.0002218989036,-0.0008896636317,-0.001026343548,-0.0003905352266,5.83E-07,-0.001288220657,-0.0007141387676,-0.0007761734252,-0.0002983972317,-2.52E-07,-0.0001050142983,-0.001312711807,-0.0006609850659,-0.0002583523912,-1.91E-07,-1.07E-08,-5.76E-08,-0.000488283321,-0.0001915147011,-1.38E-07
-0.0001652220381,-0.0009307684335,-0.001148512092,-0.0004366481559,5.81E-07,-0.001213371075,-0.0007519826931,-0.0008657202503,-0.0003328019161,-3.47E-07,-7.84E-05,-0.001451684235,-0.0007353504406,-0.0002874620063,-2.64E-07,-2.27E-08,-8.46E-08,-0.0005425919939,-0.000212569977,-1.91E-07
-0.0001113742042,-0.0009787357471,-0.00128195271,-0.0004863843349,5.21E-07,-0.00108213571,-0.0007957343199,-0.0009638219964,-0.0003699926998,-5.12E-07,-5.31E-05,-0.001603619577,-0.0008169162315,-0.0003190018291,-3.95E-07,-5.42E-08,-1.39E-07,-0.0006021405869,-0.0002354358559,-2.88E-07
-6.26E-05,-0.001036934772,-0.001426666301,-0.000539887413,3.35E-07,-0.0009043124855,-0.0008477348455,-0.00107358366,-0.0004113037045,-8.06E-07,-3.01E-05,-0.001775993496,-0.0009053364959,-0.000353131335,-6.30E-07,-1.42E-07,-2.58E-07,-0.0006666278082,-0.0002602480099,-4.69E-07
-2.63E-05,-0.001112760743,-0.001585573884,-0.0005979805378,-2.03E-07,-0.0006240214396,-0.0009134590595,-0.001223246458,-0.0004666616377,-1.42E-06,-1.30E-05,-0.001971639965,-0.001002701747,-0.0003905226573,-1.13E-06,-4.20E-07,-5.78E-07,-0.0007375217311,-0.0002875345253,-8.57E-07
-3.50E-05,-0.001245276484,-0.001794324374,-0.0006926574259,-2.82E-05,-0.0003365670076,-0.001025027055,-0.001464038264,-0.0005712605213,-2.73E-05,-2.52E-05,-0.00221000948,-0.001131782269,-0.0004533486551,-2.32E-05,-1.81E-05,-1.84E-05,-0.0008317724286,-0.0003347421893,-1.89E-05
-0.0001163511319,-0.001471765486,-0.00208115966,-0.0008485339956,-0.0001043825532,-0.0003897472338,-0.001210624845,-0.001775097405,-0.000729921906,-9.68E-05,-8.39E-05,-0.002505598995,-0.001308767214,-0.0005573685739,-8.16E-05,-6.20E-05,-6.33E-05,-0.0009607889517,-0.0004136989975,-6.58E-05
-0.0002813906154,-0.001808484947,-0.00246418601,-0.001084790473,-0.0002439699786,-0.0009125036277,-0.001483229651,-0.002148339599,-0.0009506733246,-0.000221870282,-0.0001970515296,-0.002852696057,-0.001541444128,-0.0007118480266,-0.0001850630591,-0.0001355596986,-0.0001400372123,-0.001128795973,-0.0005299993165,-0.000147702157
-0.0005744716495,-0.002311897993,-0.002976351817,-0.001433592453,-0.0004779676782,-0.001695461456,-0.001880801643,-0.002586972333,-0.001251201985,-0.0004248132767,-0.0003860398832,-0.003263056902,-0.001842368784,-0.0009305013568,-0.0003474868421,-0.00023813502,-0.0002504970103,-0.001341437585,-0.000690676222,-0.0002716335219
-0.001022277343,-0.003011270323,-0.003629144648,-0.001920875021,-0.0008424088109,-0.002629641417,-0.002417966324,-0.003136952602,-0.00166201082,-0.0007268151905,-0.0006617251292,-0.003726273347,-0.002208909356,-0.001217342265,-0.0005779001094,-0.0003636567279,-0.0003911791197,-0.00159250324,-0.0008931792237,-0.0004381863657
-0.00163486336,-0.003906697626,-0.004418345042,-0.002556574488,-0.001354953328,-0.003661279787,-0.003092813302,-0.003793207317,-0.002189108859,-0.001137951352,-0.001026036348,-0.00422510506,-0.002635672206,-0.001572844761,-0.0008809296698,-0.0005123019889,-0.0005628601423,-0.001877394925,-0.001136090099,-0.0006486421122
-0.002447088473,-0.005023115034,-0.00536659117,-0.003367190552,-0.00204947471,-0.004817724021,-0.003915787281,-0.004571163618,-0.002852715663,-0.00168057401,-0.001490171195,-0.004774890753,-0.003128690069,-0.002007261162,-0.001269769552,-0.0006883281452,-0.0007703667247,-0.002198086053,-0.001424617718,-0.0009097706717
-0.003540232866,-0.006440113874,-0.006519937378,-0.004419686992,-0.003002423613,-0.006072216272,-0.004940741334,-0.005508147258,-0.003704178384,-0.002406079645,-0.00209221435,-0.005375569328,-0.003708189349,-0.002546679043,-0.001775503596,-0.0009012086496,-0.001027163634,-0.002565416671,-0.001772728866,-0.001238157554
-0.005077677313,-0.008268837916,-0.00797472676,-0.005834351612,-0.004348887849,-0.0074062038,-0.006216239107,-0.006671967649,-0.004830378925,-0.003399719277,-0.002872363878,-0.006033174144,-0.004400022764,-0.003229744056,-0.002446252996,-0.001171387128,-0.001354422608,-0.002988346205,-0.00219712549,-0.001657288561
-0.006988665108,-0.01040308394,-0.009696428124,-0.007565041882,-0.006047158762,-0.008791536713,-0.007700361172,-0.008014302762,-0.006191801316,-0.004623436457,-0.003808152458,-0.006728269018,-0.005176643781,-0.004031468689,-0.003252939833,-0.001487411279,-0.00174262778,-0.003452307046,-0.002681435526,-0.002147647295
-0.009341549843,-0.01286936174,-0.01168655539,-0.00964497707,-0.008123495545,-0.01019363752,-0.009333529958,-0.009552695037,-0.007794242607,-0.006086531593,-0.004867273528,-0.00747184983,-0.006043168085,-0.004944304699,-0.004196575299,-0.001861960109,-0.002186044833,-0.003949758046,-0.003220604122,-0.002706994687
-0.01214993289,-0.01564921754,-0.01400037002,-0.01209979604,-0.01062241452,-0.01161809452,-0.01115563625,-0.0112988269,-0.009664249562,-0.007807663571,-0.006072351124,-0.008255316313,-0.006988984755,-0.005979326524,-0.005282390347,-0.002292937836,-0.002699643353,-0.004483553688,-0.003812380431,-0.003334530881
-0.01552894794,-0.01873554192,-0.01674796478,-0.01508884594,-0.01370570347,-0.0130414369,-0.01311564275,-0.01330465664,-0.01186793541,-0.009853461722,-0.007383100085,-0.009052823777,-0.008022744787,-0.007144660737,-0.006528582497,-0.002811650396,-0.003295175371,-0.005041542849,-0.004453960311,-0.004027796293
