70_100,70_80,70_50,70_30,70_0,60_100,60_80,60_50,60_30,60_0,50_100,50_80,50_50,50_30,50_0,40_100,40_80,40_50,40_30,40_0
4.99E-07,,2.73E-07,,1.80E-07,,1.50E-07,,9.41E-08,7.44E-08,,6.18E-08,4.85E-08,,,3.09E-08,,,1.87E-08,1.56E-08
-1.78E-07,,-1.15E-07,,-8.16E-08,,-5.36E-08,,-3.96E-08,-3.53E-08,,-1.67E-08,-1.57E-08,,,-2.54E-09,,,-5.25E-09,-7.59E-09
-5.17E-07,,-2.99E-07,,-2.25E-07,,-1.45E-07,,-1.03E-07,-9.40E-08,,-4.89E-08,-4.30E-08,,,-1.38E-08,,,-1.60E-08,-1.98E-08
3.52E-08,,2.02E-08,,-1.24E-08,,2.13E-08,,5.73E-09,-4.36E-09,,1.20E-08,7.22E-09,,,1.04E-08,,,2.24E-09,-8.26E-10
2.77E-06,,1.64E-06,,1.19E-06,,8.72E-07,,5.94E-07,5.00E-07,,3.58E-07,2.95E-07,,,1.70E-07,,,1.17E-07,1.06E-07
-4.68E-06,,-2.86E-06,,-2.18E-06,,-1.50E-06,,-1.06E-06,-9.15E-07,,-6.21E-07,-5.19E-07,,,-2.94E-07,,,-2.09E-07,-1.94E-07
1.60E-05,,1.56E-05,,1.41E-05,,7.71E-06,,7.00E-06,6.27E-06,,3.70E-06,3.44E-06,,,1.84E-06,,,1.48E-06,1.38E-06
-4.82E-05,,-4.37E-05,,-3.86E-05,,-2.18E-05,,-1.91E-05,-1.70E-05,,-1.03E-05,-9.44E-06,,,-5.10E-06,,,-4.02E-06,-3.74E-06
4.66E-05,,4.19E-05,,3.68E-05,,2.10E-05,,1.83E-05,1.62E-05,,9.92E-06,9.05E-06,,,4.93E-06,,,3.85E-06,3.56E-06
6.76E-05,,6.03E-05,,5.28E-05,,3.03E-05,,2.63E-05,2.33E-05,,1.43E-05,1.30E-05,,,7.12E-06,,,5.53E-06,5.10E-06
-0.0001178501262,,-0.0001042028471,,-9.02E-05,,-5.28E-05,,-4.53E-05,-3.98E-05,,-2.50E-05,-2.26E-05,,,-1.26E-05,,,-9.54E-06,-8.72E-06
9.68E-05,,8.43E-05,,7.15E-05,,4.36E-05,,3.65E-05,3.15E-05,,2.09E-05,1.85E-05,,,1.07E-05,,,7.74E-06,6.91E-06
-0.001938980688,,-0.001717056661,,-0.0015021946,,-0.0008569369689,,-0.000742927205,-0.0006581860937,,-0.0004006200703,-0.000364642194,,,-0.000197004311,,,-0.0001526541987,-0.0001410285071
-0.0001435479032,,-0.0001123164872,,-9.02E-05,,-5.90E-05,,-4.65E-05,-3.93E-05,,-2.73E-05,-2.36E-05,,,-1.39E-05,,,-9.62E-06,-8.48E-06
-0.0001408916585,,-0.0001276267736,,-0.000115268182,,-6.13E-05,,-5.48E-05,-4.96E-05,,-2.78E-05,-2.58E-05,,,-1.28E-05,,,-1.04E-05,-9.78E-06
0.0002960369624,,0.0002476890999,,0.0002101629505,,0.000119875304,,9.91E-05,8.56E-05,,5.07E-05,4.44E-05,,,2.14E-05,,,1.42E-05,1.23E-05
0.0002100278637,,0.0001716891225,,0.0001398374471,,6.33E-05,,4.56E-05,3.38E-05,,8.37E-06,2.96E-06,,,-1.09E-05,,,-1.71E-05,-1.87E-05
-0.001375185547,,-0.001188391537,,-0.001055063735,,-0.0006842236872,,-0.0006118652704,-0.0005649130886,,-0.0003960104488,-0.0003745895908,,,-0.0002512075162,,,-0.0002257544109,-0.0002194026888
0.001998741113,,0.001589987158,,0.001280713267,,0.0006313207536,,0.000459570607,0.0003527556087,,0.0001381307505,8.79E-05,,,-3.51E-05,,,-9.06E-05,-0.0001047799267
0.001291803179,,0.0009289563974,,0.0006597207857,,0.0002049340025,,4.98E-05,-4.14E-05,,-0.0001450082041,-0.000189905267,,,-0.0002273363232,,,-0.0002745173284,-0.0002863741031
-0.002112533877,,-0.002052043286,,-0.001995156003,,-0.001418995543,,-0.001403526841,-0.001375376396,,-0.001009504667,-0.001003318225,,,-0.0007163457675,,,-0.0007006129793,-0.0006963174643
-0.001623647693,,-0.001841898272,,-0.001951798123,,-0.001463721435,,-0.001558489744,-0.001581320851,,-0.001171560603,-0.001196934751,,,-0.0008677925614,,,-0.0008819706151,-0.0008842740317
-0.002337103073,,-0.002753533712,,-0.002929104481,,-0.002112313189,,-0.002273530796,-0.002307592456,,-0.001651398123,-0.00169459895,,,-0.001187264964,,,-0.001211518685,-0.001214291685
-0.00348433206,,-0.004111207912,,-0.00433212135,,-0.003015232582,,-0.003239849927,-0.00327640649,,-0.002274070005,-0.002334387444,,,-0.001581165678,,,-0.001613776892,-0.001616155534
-0.004825103148,,-0.005729340762,,-0.006018469665,,-0.004081663688,,-0.004390507782,-0.004436199756,,-0.00299939317,-0.003083552877,,,-0.002027987354,,,-0.002076305527,-0.002080306296
-0.005995882316,,-0.007305154208,,-0.007727584706,,-0.005174775685,,-0.005609167546,-0.005686150752,,-0.003768446553,-0.003888663857,,,-0.002499116078,,,-0.002576125443,-0.002584652422
-0.008318468013,,-0.009913440862,,-0.01037012292,,-0.006841042702,,-0.007343212296,-0.007417009923,,-0.004827555097,-0.004966253221,,,-0.003111864685,,,-0.00319666803,-0.003203073628
-0.0108486112,,-0.01270212711,,-0.01321063521,,-0.008634694331,,-0.009204815604,-0.009285129461,,-0.005951661325,-0.006109831349,,,-0.003746355321,,,-0.003843547902,-0.003849760296
-0.01383995119,,-0.01587731467,,-0.01643154882,,-0.01062682913,,-0.01125467412,-0.0113446631,,-0.007156962112,-0.007333647435,,,-0.004403985531,,,-0.004516962963,-0.004526067147
-0.01722258694,,-0.01936237632,,-0.01995548304,,-0.01277873834,,-0.01344735522,-0.01354830611,,-0.008421963978,-0.008613051818,,,-0.005074862906,,,-0.005201842018,-0.005214204841
-0.02120054457,,-0.02324141665,,-0.0238090922,,-0.01512196643,,-0.01576986533,-0.01586227036,,-0.009738435465,-0.009924383219,,,-0.005747433644,,,-0.005868819717,-0.005878589715
-0.02535469435,,-0.02724870099,,-0.02779634503,,-0.01746310564,,-0.01808573647,-0.01817728039,,-0.01100553477,-0.01118561036,,,-0.006369365316,,,-0.006489096966,-0.006499527087
-0.02961098676,,-0.03129056164,,-0.03181378156,,-0.01973180734,,-0.02031394488,-0.02040492155,,-0.01217356541,-0.0123445785,,,-0.00691366313,,,-0.007029246974,-0.007040637036
-0.03375464123,,-0.0351626761,,-0.03564196928,,-0.02179246456,,-0.02231239297,-0.02239718663,,-0.01316498728,-0.01331815302,,,-0.00734162186,,,-0.007446218686,-0.007457244116
-0.03745405843,,-0.03854221283,,-0.03893757125,,-0.02345210103,,-0.02388048662,-0.02394894,,-0.01387391695,-0.01400058025,,,-0.007604087674,,,-0.007687963812,-0.007695945962
-0.04032796203,,-0.04110756421,,-0.04141497691,,-0.02454779694,,-0.02488300828,-0.02493593146,,-0.01423531876,-0.01433490733,,,-0.007676696586,,,-0.007740951857,-0.007747083215
